query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_275_read_33	33	1856	2286	851	1455	355	46	476	877
channel_137_read_87	87	3699	4372	754	2755	848	96	769	1713
channel_137_read_85	85	3272	4027	772	2531	636	105	860	1601
channel_137_read_82	82	4669	6127	16550	3781	826	62	1520	2408
channel_137_read_83	83	1436	1760	2552	1127	284	25	349	658
channel_137_read_80	80	7547	8571	22	5707	1576	264	1288	3128
channel_480_read_121	121	1226	1547	6134	929	259	38	359	656
channel_480_read_120	120	3149	4183	42	2500	609	40	1074	1723
channel_275_read_31	31	9545	8354	22475	6229	1660	1656	465	3781
channel_480_read_124	124	1834	2203	1342	1318	471	45	414	930
channel_268_read_262	262	1179	1579	1658	962	203	14	414	631
channel_451_read_91	91	2629	2928	267	1891	628	110	409	1147
channel_319_read_243	243	8123	8717	90	5971	1684	468	1062	3214
channel_46_read_66	66	1954	2625	3896	1538	381	35	706	1122
channel_46_read_60	60	591	763	4977	463	119	9	181	309
channel_489_read_252	252	228	288	2799	192	32	4	64	100
channel_373_read_67	67	2688	3595	9264	2178	466	44	951	1461
channel_274_read_229	229	5312	6834	411	4306	914	92	1614	2620
channel_373_read_65	65	1590	1969	5693	1214	327	49	428	804
channel_52_read_8	8	2106	2567	156	1619	416	71	532	1019
channel_52_read_4	4	2936	3699	336	2327	545	64	827	1436
channel_52_read_5	5	10713	11070	46	7955	1999	759	1116	3874
channel_274_read_227	227	4100	4138	156	3057	700	343	381	1424
channel_284_read_0	0	3820	4635	46	2951	710	159	974	1843
channel_274_read_225	225	11586	12332	9103	9003	1964	619	1365	3948
channel_274_read_224	224	3500	4445	247	2592	834	74	1019	1927
channel_143_read_32	32	2958	3404	67	2268	610	80	526	1216
channel_143_read_33	33	3637	4653	2976	2895	680	62	1078	1820
channel_143_read_30	30	2812	3449	1502	2164	591	57	694	1342
channel_490_read_78	78	798	984	476	626	150	22	208	380
channel_129_read_73	73	1340	1700	3539	1058	244	38	398	680
channel_490_read_72	72	3395	4072	591	2574	691	130	807	1628
channel_490_read_70	70	1686	2224	4229	1330	324	32	570	926
channel_490_read_76	76	4460	5629	4882	3549	791	120	1289	2200
channel_490_read_75	75	3177	3949	2451	2437	655	85	857	1597
channel_432_read_184	184	682	852	2492	524	144	14	184	342
channel_50_read_176	176	7123	8011	778	5316	1549	258	1146	2953
channel_435_read_46	46	4001	4865	1105	3154	686	161	1025	1872
channel_150_read_100	100	1190	1520	588	944	232	14	344	590
channel_346_read_88	88	25300	27881	125	18699	5548	1053	3634	10235
channel_471_read_66	66	1942	2298	76	1497	375	70	426	871
channel_506_read_32	32	1418	1745	87	1132	259	27	354	640
channel_90_read_28	28	1193	1493	3294	917	238	38	338	614
channel_12_read_131	131	7643	8702	54	5744	1621	278	1337	3236
channel_258_read_21	21	3110	4001	8839	2509	556	45	936	1537
channel_311_read_35	35	2637	3330	327	2125	469	43	736	1248
channel_156_read_262	262	4582	5152	1319	3137	1253	192	762	2207
channel_311_read_31	31	9270	11694	373	7489	1604	177	2601	4382
channel_330_read_200	200	4631	6025	216	3784	790	57	1451	2298
channel_311_read_33	33	4058	5141	448	3261	707	90	1173	1970
channel_311_read_32	32	2065	2518	40	1593	419	53	506	978
channel_373_read_172	172	3271	4201	1379	2539	622	110	1040	1772
channel_373_read_175	175	1485	1830	1444	1127	304	54	399	757
channel_373_read_174	174	873	1048	4352	667	171	35	210	416
channel_39_read_269	269	253	308	4191	211	40	2	57	99
channel_388_read_28	28	7912	9276	65	5848	1806	258	1622	3686
channel_223_read_48	48	3813	4666	5863	3003	653	157	1010	1820
channel_156_read_261	261	2364	2663	54	1825	454	85	384	923
channel_223_read_43	43	8969	10062	66	6558	2030	381	1474	3885
channel_223_read_40	40	1811	2293	2512	1414	339	58	540	937
channel_93_read_27	27	3159	3574	2823	2244	775	140	555	1470
channel_223_read_44	44	2994	3544	372	2242	650	102	652	1404
channel_223_read_45	45	8826	9660	110	6148	2049	629	1463	4141
channel_442_read_139	139	6354	8197	103	5102	1120	132	1975	3227
channel_416_read_19	19	2779	3471	190	2136	567	76	768	1411
channel_217_read_229	229	5115	6647	786	4039	973	103	1635	2711
channel_217_read_224	224	1224	1585	516	980	189	55	416	660
channel_442_read_131	131	3066	3832	8675	2458	565	43	809	1417
channel_416_read_11	11	3557	4722	6325	2905	610	42	1207	1859
channel_442_read_133	133	3255	4284	4602	2546	670	39	1068	1777
channel_475_read_41	41	3890	4847	5137	3023	728	139	1096	1963
channel_217_read_221	221	716	960	6308	585	123	8	252	383
channel_416_read_15	15	17576	22627	3342	14139	3172	265	5316	8753
channel_475_read_42	42	3576	4411	647	2720	756	100	935	1791
channel_221_read_117	117	3046	3662	4345	2308	619	119	735	1473
channel_59_read_39	39	2552	3105	6196	1965	506	81	634	1221
channel_274_read_148	148	314	335	4962	220	75	19	40	134
channel_341_read_68	68	1087	1388	1979	841	209	37	338	584
channel_59_read_31	31	5046	5616	288	3699	1129	218	788	2135
channel_274_read_149	149	2579	3356	4497	2055	450	74	851	1375
channel_59_read_37	37	703	849	1102	533	154	16	162	332
channel_59_read_36	36	13062	14566	153	9867	2680	515	2019	5214
channel_59_read_35	35	4483	4639	4	3282	922	279	435	1636
channel_59_read_34	34	3405	3776	260	2441	771	193	564	1528
channel_195_read_20	20	9612	10774	550	6528	2610	474	1636	4720
channel_195_read_21	21	7383	9040	1547	5479	1727	177	1834	3738
channel_195_read_23	23	3338	4237	3312	2688	568	82	981	1631
channel_195_read_24	24	4017	5028	3456	3178	745	94	1105	1944
channel_195_read_26	26	11863	13792	665	8970	2581	312	2241	5134
