query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_442_read_14	14	6125	6034	5186	4934	485	706	615	1806
channel_138_read_216	216	10367	10136	6	8916	488	963	732	2183
channel_381_read_34	34	1584	1522	17	1309	91	184	122	397
channel_311_read_65	65	2865	2794	2451	2302	199	364	293	856
channel_505_read_288	288	3501	3785	1345	2799	319	383	667	1369
channel_230_read_50	50	6664	6424	64	5667	356	641	401	1398
channel_475_read_81	81	1708	1606	73	1341	106	261	159	526
channel_258_read_67	67	1655	2024	7229	1388	158	109	478	745
channel_154_read_32	32	1243	1263	1480	983	106	154	174	434
channel_490_read_136	136	395	349	5718	287	37	71	25	133
channel_464_read_271	271	4560	4517	2680	3895	255	410	367	1032
channel_475_read_157	157	1675	1615	1836	1410	77	188	128	393
channel_10_read_242	242	2983	2984	0	2505	199	279	280	758
channel_258_read_47	47	2887	3091	771	2391	216	280	484	980
channel_138_read_219	219	5012	4821	83	4220	259	533	342	1134
channel_421_read_68	68	6522	6952	24	5658	442	422	852	1716
channel_466_read_70	70	8021	7700	23	6724	431	866	545	1842
channel_282_read_133	133	2988	3004	27	2572	175	241	257	673
channel_284_read_83	83	1121	1053	1289	896	68	157	89	314
channel_372_read_55	55	4281	4058	1	3668	175	438	215	828
channel_391_read_176	176	4754	4597	5	3662	446	646	489	1581
channel_466_read_79	79	1067	1087	900	855	87	125	145	357
channel_406_read_123	123	5877	5854	2652	4840	451	586	563	1600
channel_146_read_55	55	850	813	12739	675	55	120	83	258
channel_48_read_41	41	9398	8891	116	7322	812	1264	757	2833
channel_46_read_42	42	4033	3911	342	3223	335	475	353	1163
channel_387_read_137	137	308	289	11182	233	16	59	40	115
channel_27_read_36	36	3473	3536	5084	2992	221	260	323	804
channel_195_read_192	192	10540	10226	7	8861	582	1097	783	2462
channel_195_read_194	194	6468	6281	26	5436	383	649	462	1494
channel_387_read_130	130	1122	1144	95	944	69	109	131	309
channel_341_read_48	48	865	886	7158	668	94	103	124	321
channel_390_read_106	106	1354	1336	6	1189	59	106	88	253
channel_327_read_161	161	220	248	1946	185	18	17	45	80
channel_315_read_4	4	361	346	4169	264	40	57	42	139
channel_132_read_61	61	1618	1915	35	1425	111	82	379	572
channel_46_read_235	235	2897	2959	1792	2470	162	265	327	754
channel_193_read_140	140	1680	1672	728	1394	121	165	157	443
channel_495_read_2	2	1919	1872	200	1596	129	194	147	470
channel_160_read_29	29	10154	10297	3126	8479	742	933	1076	2751
channel_354_read_198	198	1418	1237	8511	1003	137	278	97	512
channel_415_read_13	13	1643	1621	1256	1309	127	207	185	519
channel_35_read_26	26	5692	5477	480	4724	349	619	404	1372
channel_12_read_177	177	575	626	1544	461	68	46	97	211
channel_275_read_140	140	1374	1274	706	1060	108	206	106	420
channel_195_read_173	173	3226	3210	1084	2657	250	319	303	872
channel_295_read_80	80	171	195	2887	142	17	12	36	65
