query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_505_read_21	21	9208	9280	5	7630	976	602	674	2252
channel_453_read_33	33	10400	11128	253	7771	1946	683	1411	4040
channel_505_read_27	27	4576	4473	156	3384	759	433	330	1522
channel_453_read_35	35	1803	1922	33	1476	241	86	205	532
channel_453_read_36	36	7759	7457	26	6380	732	647	345	1724
channel_453_read_38	38	11473	10987	12	9148	1333	992	506	2831
channel_453_read_39	39	5131	5375	274	4274	585	272	516	1373
channel_505_read_28	28	9070	8766	5	7577	785	708	404	1897
channel_295_read_35	35	5437	6518	2366	4030	1207	200	1281	2688
channel_402_read_69	69	8747	9790	2822	7049	1309	389	1432	3130
channel_402_read_61	61	6367	5980	214	4077	1468	822	435	2725
channel_403_read_275	275	4116	4035	261	3031	680	405	324	1409
channel_402_read_63	63	13038	13310	11	11375	1033	630	902	2565
channel_391_read_139	139	5096	5422	28	3826	1004	266	592	1862
channel_402_read_65	65	4541	4727	28	3883	423	235	421	1079
channel_489_read_139	139	9116	9497	17	6784	1645	687	1068	3400
channel_104_read_156	156	7838	7453	100	5977	1057	804	419	2280
channel_382_read_80	80	6497	6715	43	4916	1099	482	700	2281
channel_390_read_67	67	2840	2793	117	2104	508	228	181	917
channel_452_read_17	17	2680	3217	13	2122	463	95	632	1190
channel_382_read_85	85	7694	8416	76	5649	1633	412	1134	3179
channel_452_read_15	15	6762	6826	16	5098	1149	515	579	2243
channel_382_read_88	88	8732	9423	47	6147	2051	534	1225	3810
channel_382_read_89	89	2665	2683	5	2031	408	226	244	878
channel_452_read_19	19	2092	2050	73	1584	314	194	152	660
channel_304_read_122	122	1773	1797	49	1379	267	127	151	545
channel_484_read_41	41	2884	2775	17	2381	280	223	114	617
channel_311_read_170	170	2386	2569	185	1895	387	104	287	778
channel_311_read_173	173	3402	3585	11	2691	554	157	340	1051
channel_174_read_126	126	4873	5056	12	3703	811	359	542	1712
channel_311_read_175	175	4684	4804	63	3537	820	327	447	1594
channel_311_read_174	174	9679	9290	2	7813	984	882	493	2359
channel_484_read_47	47	13249	13470	27	10672	1758	819	1040	3617
channel_484_read_49	49	6488	6734	821	5112	970	406	652	2028
channel_484_read_48	48	11087	11386	41	8768	1604	715	1014	3333
channel_2_read_89	89	15695	15848	111	11478	2887	1330	1483	5700
channel_2_read_88	88	2294	2285	42	1569	510	215	206	931
channel_491_read_228	228	6315	6393	90	5153	704	458	536	1698
channel_400_read_87	87	7012	6598	18	4481	1618	913	499	3030
channel_156_read_98	98	1700	1732	34	1332	261	107	139	507
channel_156_read_99	99	12711	12930	142	10358	1603	750	969	3322
channel_156_read_96	96	3083	3859	78	2658	363	62	838	1263
channel_156_read_97	97	10061	10287	16	8120	1290	651	877	2818
channel_491_read_222	222	5018	4850	7	4237	409	372	204	985
channel_491_read_223	223	6263	6388	27	4857	956	450	575	1981
channel_491_read_224	224	8802	8415	17	7418	652	732	345	1729
channel_491_read_225	225	7304	7547	69	5902	952	450	693	2095
channel_156_read_90	90	2314	2241	94	1743	349	222	149	720
channel_491_read_227	227	7827	7563	60	5006	1924	897	633	3454
channel_427_read_39	39	14056	14404	35	11318	1801	937	1285	4023
channel_400_read_89	89	7365	7203	1579	5042	1481	842	680	3003
channel_416_read_48	48	3799	3932	30	2848	687	264	397	1348
channel_167_read_69	69	141	178	10037	119	19	3	40	62
channel_400_read_88	88	12128	12173	59	9374	1818	936	981	3735
channel_427_read_31	31	9579	9823	27	7695	1237	647	891	2775
channel_42_read_200	200	7876	8893	63	6041	1409	426	1443	3278
channel_427_read_33	33	11643	11731	135	9762	1192	689	777	2658
channel_427_read_37	37	7773	7439	102	5923	1097	753	419	2269
channel_42_read_206	206	6630	7277	18	5122	1144	364	1011	2519
channel_287_read_272	272	5127	5167	21	3850	868	409	449	1726
channel_132_read_20	20	5863	6048	33	4658	837	368	553	1758
channel_287_read_270	270	7768	7914	327	6078	1141	549	695	2385
