query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_314_read_20	20	5647	6469	125	4421	991	235	1057	2283
channel_192_read_33	33	1557	1673	88	1182	296	79	195	570
channel_45_read_200	200	6680	6904	81	4971	1224	485	709	2418
channel_7_read_56	56	6317	6590	7148	4609	1292	416	689	2397
channel_7_read_55	55	7251	7726	5000	5182	1642	427	902	2971
channel_45_read_203	203	5540	5682	67	4075	1042	423	565	2030
channel_7_read_53	53	2538	2685	90	1899	452	187	334	973
channel_7_read_52	52	12893	14019	48	9644	2541	708	1834	5083
channel_45_read_207	207	8101	8046	30	5526	1726	849	794	3369
channel_45_read_208	208	5517	5876	538	3645	1436	436	795	2667
channel_321_read_119	119	5483	5834	64	4153	1008	322	673	2003
channel_7_read_58	58	13764	14729	4090	10336	2659	769	1734	5162
channel_105_read_124	124	970	940	85	730	145	95	65	305
channel_305_read_32	32	11555	12547	33	8614	2283	658	1650	4591
channel_105_read_128	128	767	797	146	539	171	57	87	315
channel_203_read_115	115	1485	1650	408	1157	264	64	229	557
channel_305_read_31	31	13351	14619	52	10268	2384	699	1967	5050
channel_305_read_37	37	6522	6814	82	5004	1088	430	722	2240
channel_305_read_34	34	2073	2184	82	1587	375	111	222	708
channel_315_read_7	7	1699	1779	17	1315	290	94	174	558
channel_315_read_6	6	6768	7257	74	5188	1221	359	848	2428
channel_272_read_29	29	2179	2066	162	1450	474	255	142	871
channel_413_read_30	30	1867	2180	470	1454	335	78	391	804
channel_315_read_2	2	1054	1083	3	843	132	79	108	319
channel_413_read_32	32	2173	2344	99	1636	407	130	301	838
channel_413_read_33	33	2997	3263	63	2325	527	145	411	1083
channel_413_read_38	38	6798	7046	138	5109	1239	450	698	2387
channel_413_read_39	39	9173	10447	133	6721	2072	380	1654	4106
channel_315_read_9	9	8453	8912	52	6515	1463	475	934	2872
channel_315_read_8	8	4712	5070	149	3569	910	233	591	1734
channel_362_read_19	19	9454	9780	234	6917	1882	655	981	3518
channel_316_read_30	30	9055	10114	113	6680	1945	430	1489	3864
channel_362_read_11	11	4676	5065	73	3679	791	206	595	1592
channel_362_read_10	10	3647	3915	62	2841	616	190	458	1264
channel_362_read_13	13	6652	7004	57	5005	1226	421	773	2420
channel_362_read_15	15	6622	8470	1982	5487	1045	90	1938	3073
channel_362_read_14	14	5776	6204	44	4460	1009	307	735	2051
channel_362_read_17	17	10309	10742	81	7833	1810	666	1099	3575
channel_494_read_65	65	3060	3436	107	2391	537	132	508	1177
channel_247_read_95	95	4161	4480	73	3138	792	231	550	1573
channel_494_read_63	63	7525	7762	132	5188	1764	573	810	3147
channel_129_read_6	6	9711	10460	58	7260	1901	550	1299	3750
channel_84_read_16	16	2324	2603	61	1805	433	86	365	884
channel_129_read_4	4	2605	2930	38	2017	483	105	430	1018
channel_129_read_2	2	5022	5344	34	3676	1011	335	657	2003
channel_494_read_69	69	10517	11493	108	7977	2060	480	1456	3996
channel_84_read_11	11	1486	1691	182	1145	292	49	254	595
channel_84_read_10	10	4900	6167	173	3902	887	111	1378	2376
channel_7_read_54	54	4852	5199	72	3600	948	304	651	1903
channel_51_read_233	233	6712	8151	121	5131	1384	197	1636	3217
channel_321_read_113	113	3365	4181	2009	2485	790	90	906	1786
channel_268_read_159	159	1613	1835	4254	1119	421	73	295	789
channel_268_read_155	155	6057	6549	47	4758	972	327	819	2118
channel_268_read_156	156	6696	7428	41	5254	1118	324	1056	2498
