query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_283_read_181	181	3244	3096	116	2608	325	311	163	799
channel_179_read_19	19	5319	5439	24	4538	513	268	388	1169
channel_475_read_103	103	818	910	27	655	133	30	122	285
channel_498_read_76	76	9304	9652	10	8080	851	373	721	1945
channel_242_read_76	76	3277	3412	172	2668	483	126	261	870
channel_242_read_77	77	17380	18037	46	14934	1692	754	1411	3857
channel_97_read_113	113	3111	4046	7177	2391	664	56	991	1711
channel_171_read_116	116	17205	17288	48	14291	1873	1041	1124	4038
channel_97_read_111	111	6365	6703	39	5331	737	297	635	1669
channel_97_read_110	110	4805	5380	52	3694	907	204	779	1890
channel_171_read_118	118	4326	4475	38	3697	444	185	334	963
channel_499_read_148	148	6094	6383	12	5366	510	218	507	1235
channel_69_read_60	60	2136	2585	136	1783	307	46	495	848
channel_184_read_99	99	4654	5835	3077	3372	1167	115	1296	2578
channel_362_read_138	138	2687	3688	2724	2377	296	14	1015	1325
channel_184_read_97	97	8805	9379	23	7692	749	364	938	2051
channel_184_read_96	96	4322	4940	123	3783	461	78	696	1235
channel_51_read_94	94	11985	12903	55	9885	1606	494	1412	3512
channel_395_read_112	112	4243	4477	27	3751	351	141	375	867
channel_423_read_6	6	311	390	409	277	29	5	84	118
channel_395_read_116	116	4339	5020	119	3360	818	161	842	1821
channel_128_read_51	51	6448	7747	28	5487	818	143	1442	2403
channel_128_read_52	52	13581	14822	325	11675	1420	486	1727	3633
channel_209_read_91	91	3555	4464	843	2900	575	80	989	1644
channel_297_read_25	25	10639	11379	80	9175	1062	402	1142	2606
channel_204_read_77	77	4643	4739	9	3960	451	232	328	1011
channel_286_read_29	29	9343	9381	5	7942	860	541	579	1980
channel_286_read_28	28	1929	1897	15	1637	162	130	98	390
channel_286_read_27	27	2203	2210	19	1804	264	135	142	541
channel_286_read_26	26	1079	1253	346	953	116	10	184	310
channel_286_read_25	25	1941	1894	20	1637	168	136	89	393
channel_286_read_23	23	6455	6530	34	5163	907	385	460	1752
channel_385_read_83	83	3080	3130	24	2496	414	170	220	804
channel_385_read_80	80	1721	1755	1771	1489	152	80	114	346
channel_385_read_87	87	4292	4344	13	3800	266	226	278	770
channel_385_read_84	84	4386	4440	34	3769	376	241	295	912
channel_385_read_89	89	5282	6227	6	4219	936	127	1072	2135
channel_385_read_88	88	6565	6660	17	5631	572	362	457	1391
channel_289_read_98	98	5542	6421	93	4649	742	151	1030	1923
channel_431_read_17	17	9723	9725	3	7455	1569	699	701	2969
channel_401_read_62	62	4939	4886	19	4216	418	305	252	975
channel_30_read_22	22	1121	1125	10	951	113	57	61	231
channel_30_read_21	21	2525	2552	1	2193	205	127	154	486
channel_30_read_20	20	13607	13774	91	11101	1704	802	969	3475
channel_30_read_27	27	2748	2808	10	2336	281	131	191	603
channel_30_read_26	26	11323	11533	42	9848	947	528	738	2213
channel_133_read_84	84	3910	4195	6	3428	343	139	424	906
channel_133_read_85	85	1451	1482	74	1213	155	83	114	352
channel_50_read_25	25	8249	8518	17	7327	605	317	586	1508
channel_50_read_24	24	11744	12169	10	9927	1308	509	934	2751
channel_30_read_29	29	5556	5557	20	4638	575	343	344	1262
channel_133_read_89	89	1672	2226	6382	1414	232	26	580	838
channel_50_read_23	23	2195	2533	36	1890	279	26	364	669
channel_50_read_22	22	10397	11104	108	8976	1095	326	1033	2454
channel_140_read_8	8	7772	7638	16	6261	926	585	451	1962
channel_140_read_5	5	1592	1491	8	1224	204	164	63	431
channel_140_read_4	4	10252	10086	46	8561	1010	681	515	2206
channel_140_read_1	1	1963	1922	15	1619	213	131	90	434
channel_317_read_42	42	805	937	59	691	98	16	148	262
channel_317_read_43	43	2756	2969	29	2466	232	58	271	561
channel_345_read_3	3	6159	6930	15	4453	1430	276	1047	2753
channel_317_read_45	45	2357	2472	7	2022	255	80	195	530
channel_317_read_48	48	4519	4503	55	3894	382	243	227	852
channel_158_read_71	71	2061	2542	44	1782	247	32	513	792
channel_158_read_76	76	885	954	444	707	131	47	116	294
channel_158_read_77	77	8225	8499	65	6999	856	370	644	1870
channel_291_read_124	124	8893	9900	654	6969	1547	377	1384	3308
channel_150_read_69	69	3149	3323	16	2742	269	138	312	719
channel_150_read_68	68	5696	5916	6	4608	751	337	557	1645
channel_212_read_72	72	7944	8216	22	6595	978	371	643	1992
channel_212_read_70	70	13007	12539	5	11062	1000	945	477	2422
channel_150_read_61	61	1389	1463	42	1140	187	62	136	385
channel_7_read_202	202	553	756	2123	473	74	6	209	289
channel_186_read_84	84	9669	9817	10	8499	709	461	609	1779
channel_186_read_85	85	1608	1645	25	1377	143	88	125	356
channel_186_read_80	80	5258	6017	101	4747	412	99	858	1369
channel_165_read_46	46	9381	10037	46	8085	952	344	1000	2296
channel_228_read_109	109	5547	6034	46	4825	545	177	664	1386
channel_300_read_152	152	2815	3635	3101	2195	565	55	875	1495
channel_133_read_15	15	7795	7954	18	6778	640	377	536	1553
channel_338_read_80	80	2373	2985	3837	2033	308	32	644	984
channel_283_read_62	62	1234	1269	38	1068	106	60	95	261
channel_283_read_60	60	4418	4370	24	3578	553	287	239	1079
channel_283_read_69	69	7304	7277	12	6224	615	465	438	1518
channel_101_read_89	89	2871	3100	11	2420	343	108	337	788
channel_101_read_84	84	7930	8373	14	7032	633	265	708	1606
