query	read_type	read_len	align_len	unalign_len	matches	mismatches	insertions	deletions	tot_errors
channel_449_read_105	105	7452	8190	56	5889	1272	291	1029	2592
channel_449_read_106	106	3192	4002	5998	2362	763	67	877	1707
channel_449_read_107	107	12507	14139	57	9320	2703	484	2116	5303
channel_109_read_121	121	2489	2691	32	1880	457	152	354	963
channel_109_read_120	120	7989	9598	42	5912	1808	269	1878	3955
channel_449_read_102	102	6668	7314	50	5187	1233	248	894	2375
channel_449_read_103	103	5395	6641	6662	4052	1234	109	1355	2698
channel_78_read_206	206	4985	6116	271	3738	1075	172	1303	2550
channel_70_read_39	39	2780	3120	90	2152	507	121	461	1089
channel_423_read_3	3	11156	12578	160	7886	2647	623	2045	5315
channel_423_read_2	2	8422	9449	26	6225	1865	332	1359	3556
channel_189_read_117	117	1433	1741	2157	1033	353	47	355	755
channel_423_read_7	7	12721	14462	3376	9361	2921	439	2180	5540
channel_423_read_6	6	1096	1408	612	869	218	9	321	548
channel_423_read_5	5	1374	1680	40	1053	290	31	337	658
channel_423_read_4	4	4610	5256	2255	3478	1013	119	765	1897
channel_412_read_145	145	311	339	26	245	51	15	43	109
channel_123_read_56	56	6783	7412	19	5288	1195	300	929	2424
channel_412_read_140	140	1504	1685	7	1162	280	62	243	585
channel_51_read_221	221	4379	5204	1917	3238	969	172	997	2138
channel_228_read_137	137	1247	1325	12	965	228	54	132	414
channel_388_read_33	33	5458	5830	452	4128	976	354	726	2056
channel_388_read_32	32	8687	10200	74	6881	1614	192	1705	3511
channel_388_read_31	31	6042	6918	17	4717	1164	161	1037	2362
channel_388_read_30	30	145	158	23	116	27	2	15	44
channel_412_read_149	149	6376	7792	174	4751	1433	192	1608	3233
channel_388_read_35	35	4319	4999	49	3414	791	114	794	1699
channel_388_read_34	34	6421	7504	0	5099	1184	138	1221	2543
channel_439_read_24	24	2108	2678	2623	1608	441	59	629	1129
channel_499_read_22	22	458	519	163	357	88	13	74	175
channel_393_read_64	64	8018	8288	114	5724	1697	597	867	3161
channel_79_read_18	18	14243	16723	33	10771	3115	357	2837	6309
channel_393_read_67	67	207	217	7	163	35	9	19	63
channel_28_read_70	70	8729	9860	25	6845	1625	259	1390	3274
channel_195_read_106	106	7314	8086	21	5464	1507	343	1115	2965
channel_80_read_128	128	19062	19982	814	12746	4848	1468	2388	8704
channel_80_read_129	129	714	786	73	532	155	27	99	281
channel_51_read_198	198	9253	10150	35	6975	1899	379	1276	3554
channel_502_read_87	87	5092	5607	4592	3817	1038	237	752	2027
channel_439_read_20	20	7871	8807	36	5721	1830	320	1256	3406
channel_80_read_124	124	5546	5836	150	3752	1347	447	737	2531
channel_80_read_125	125	5583	6302	2240	3997	1309	277	996	2582
channel_61_read_32	32	5712	6377	96	4041	1422	249	914	2585
channel_103_read_109	109	1381	1460	142	1009	271	101	180	552
channel_61_read_31	31	5276	6549	3445	3929	1198	149	1422	2769
channel_149_read_0	0	1075	1306	82	846	208	21	252	481
channel_149_read_2	2	1272	1582	20	1029	222	21	331	574
channel_418_read_11	11	6991	7433	74	4621	1911	459	901	3271
channel_61_read_38	38	9586	11075	73	7112	2167	307	1796	4270
channel_61_read_39	39	3009	3131	31	2183	612	214	336	1162
channel_149_read_9	9	3896	4749	34	3082	750	64	917	1731
channel_502_read_83	83	7106	8037	13	4962	1789	355	1286	3430
channel_113_read_7	7	4921	5485	41	3903	862	156	720	1738
channel_510_read_37	37	1039	1128	5	803	193	43	132	368
channel_510_read_35	35	524	569	261	389	123	12	57	192
channel_113_read_3	3	5492	6246	57	4269	1006	217	971	2194
channel_113_read_2	2	8021	8651	19	6399	1290	332	962	2584
channel_113_read_1	1	6600	7286	21	5268	1076	256	942	2274
channel_113_read_0	0	587	614	11	463	88	36	63	187
channel_510_read_38	38	763	824	10	573	149	41	102	292
channel_113_read_8	8	12816	14222	66	10126	2219	471	1877	4567
channel_296_read_15	15	599	684	55	466	115	18	103	236
channel_296_read_14	14	2514	2873	20	1936	530	48	407	985
channel_296_read_17	17	3389	3633	1249	2212	942	235	479	1656
channel_38_read_3	3	10016	9941	419	7417	1715	884	809	3408
channel_296_read_11	11	4748	5354	35	3690	894	164	770	1828
channel_296_read_10	10	6406	7038	190	4819	1349	238	870	2457
channel_475_read_138	138	15450	16763	24	11111	3526	813	2126	6465
channel_404_read_30	30	1905	2221	52	1525	325	55	371	751
channel_475_read_137	137	7572	8397	3777	5629	1594	349	1174	3117
channel_260_read_76	76	6213	6630	2018	4445	1398	370	787	2555
channel_475_read_135	135	9857	11881	142	7288	2227	342	2366	4935
channel_404_read_34	34	4366	4969	49	3483	771	112	715	1598
channel_404_read_35	35	6489	7834	29	5041	1323	125	1470	2918
channel_260_read_72	72	1220	1240	76	884	241	95	115	451
channel_241_read_73	73	5139	5672	329	3627	1224	288	821	2333
